ng  1  0     0.0    0.0    1.0   96.3  609.3  0.000 0.745E-01 0.804E-03 0.705E-01 0.121E-02 0.9472 0.767E-01 0.726E-01
ns  1  0     0.0    0.0    1.0   96.3  558.6  0.000 0.363E-01 0.656E-03 0.368E-01 0.655E-03 1.0147 0.357E-01 0.362E-01
nn  1  1     0.0    0.0    1.0   96.3   96.3  0.000 0.656E-02 0.788E-03 0.837E-02 0.106E-02 1.2760 0.686E-02 0.876E-02
nn  1  2     0.0    0.0    1.0   96.3  179.4  0.000 0.535E-03 0.848E-03 0.700E-03 0.868E-03 1.3080 0.507E-03 0.663E-03
nn  1  3     0.0    0.0    1.0   96.3 -364.1  0.000 0.118E-02 0.747E-03 0.150E-02 0.609E-03 1.2777 0.117E-02 0.150E-02
nn  1  4     0.0    0.0    1.0   96.3  382.6  0.000 0.257E-03 0.802E-03 0.327E-03 0.184E-02 1.2696 0.255E-03 0.324E-03
nn  1  5     0.0    0.0    1.0   96.3  178.8  0.000 0.683E-02 0.768E-03 0.878E-02 0.636E-03 1.2866 0.689E-02 0.887E-02
nn  1  6     0.0    0.0    1.0   96.3  382.9  0.000 0.851E-03 0.780E-03 0.110E-02 0.623E-03 1.2878 0.837E-03 0.108E-02
nn  2  2     0.0    0.0    1.0  179.4  179.4  0.000 0.139E-01 0.798E-03 0.179E-01 0.669E-03 1.2844 0.135E-01 0.173E-01
nn  2  3     0.0    0.0    1.0  179.4 -364.1  0.000 0.309E-02 0.755E-03 0.394E-02 0.615E-03 1.2749 0.309E-02 0.394E-02
nn  2  4     0.0    0.0    1.0  179.4  382.6  0.000 0.102E-02 0.809E-03 0.131E-02 0.670E-03 1.2841 0.987E-03 0.127E-02
nn  2  5     0.0    0.0    1.0  179.4  178.8  0.000 0.281     0.769E-03 0.352     0.649E-03 1.2515 0.287     0.360    
nn  2  6     0.0    0.0    1.0  179.4  382.9  0.000 0.131E-03 0.879E-03 0.193E-03 0.110E-02 1.4732 0.130E-03 0.192E-03
nn  3  3     0.0    0.0    1.0 -364.1 -364.1  0.000 0.923E-06 0.816E-03 0.113E-05 0.691E-03 1.2281 0.920E-06 0.113E-05
nn  3  4     0.0    0.0    1.0 -364.1  382.6  0.000 0.118E-01 0.751E-03 0.148E-01 0.608E-03 1.2563 0.118E-01 0.148E-01
nn  3  5     0.0    0.0    1.0 -364.1  178.8  0.000 0.336E-02 0.763E-03 0.428E-02 0.619E-03 1.2764 0.335E-02 0.427E-02
nn  3  6     0.0    0.0    1.0 -364.1  382.9  0.000 0.918E-02 0.769E-03 0.116E-01 0.621E-03 1.2591 0.920E-02 0.116E-01
