Index,hh_1,hh_2,hh_3,Ah_2,Ah_3,Chi_1,Chi_2,Chi_3,Chi_4,Chi_5,Cha_1,Cha_2,Se_1,Se_2,Se_3,Se_4,Se_5,Se_6,Sv_1,Sv_2,Sv_3,Su_1,Su_2,Su_3,Su_4,Su_5,Su_6,Sd_1,Sd_2,Sd_3,Sd_4,Sd_5,Sd_6,N11,N12,N13,N14,N15,N21,N22,N23,N24,N25,N31,N32,N33,N34,N35,N41,N42,N43,N44,N45,N51,N52,N53,N54,N55,U11,U12,U21,U22,V11,V12,V21,V22,ZE11,ZE12,ZE13,ZE14,ZE15,ZE16,ZE21,ZE22,ZE23,ZE24,ZE25,ZE26,ZE31,ZE32,ZE33,ZE34,ZE35,ZE36,ZE41,ZE42,ZE43,ZE44,ZE45,ZE46,ZE51,ZE52,ZE53,ZE54,ZE55,ZE56,ZE61,ZE62,ZE63,ZE64,ZE65,ZE66,ZV11,ZV12,ZV13,ZV21,ZV22,ZV23,ZV31,ZV32,ZV33,Type_Singlino,Sel_type,Sel,Sel_PDG,Ser_type,Ser,Ser_PDG,Smul_type,Smul,Smul_PDG,Smur_type,Smur,Smur_PDG,Staul_type,Staul,Staul_PDG,Staur_type,Staur,Staur_PDG,Stau1_type,Stau1,Stau1_PDG,Stau2_type,Stau2,Stau2_PDG,Sve_type,Sve,Sve_PDG,Svmu_type,Svmu,Svmu_PDG,Svtau_type,Svtau,Svtau_PDG,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,432
27009,95.1583106,124.610343,2706.85142,793.358852,2706.86972,-343.58117400000003,369.357355,424.173633,-819.925932,823.803605,369.577314,825.693051,688.8377059999999,844.232101,1984.33748,2001.70976,2004.25863,2021.71535,840.1178880000001,,,1855.22751,1952.1479,1952.1483,1953.37179,1953.37241,2060.4337,1951.85846,1951.91384,1954.92315,1954.9786,1958.59925,1995.52412,-0.997539138,-0.0028591959999999,-0.06486824,-0.026450004,-5.09e-05,0.003502693,0.991198686,-0.1201593609999999,0.0554428629999999,-0.000844039,-5.18e-05,0.000911546,0.000216065,-0.0006013619999999,0.999999379,-0.064585093,0.0459115479999999,0.70296522,0.706796111,0.000227961,-0.027058512,0.1241301269999999,0.697992616,-0.704744905,-0.00068917,0.985547718,-0.16939804,0.16939804,0.985547718,0.996935001,-0.078234292,0.078234292,0.996935001,0.0,-0.019742096,0.0,0.0,-0.999805106,0.0,0.0,-0.999805106,0.0,0.0,0.019742096,0.0,0.0,0.0,0.7257162970000001,0.0,0.0,0.687994082,0.241516256,0.0,0.0,0.970396774,0.0,0.0,-0.970396774,0.0,0.0,0.241516256,0.0,0.0,0.0,0.0,-0.687994082,0.0,0.0,0.7257162970000001,,,,,,,,,,3,Se_5,2004.25863,2000013,,,,,,,,,,,,,Se_6,2021.71535,2000015,,,,,,,,,,,,,,,,2000013  -2000013,,,,,,,,,,,,,,,,,,
27072,94.261268,125.543236,2255.82912,794.517542,2255.82672,-240.239763,260.798045,482.47375,-596.924304,602.534473,261.039873,604.921713,654.2834650000001,762.685698,1995.29701,2001.67227,2004.32954,2010.83022,649.175865,,,1839.34288,1952.19358,1952.19401,1953.4056100000005,1953.40621,2061.66704,1951.88417,1951.89555,1953.55649,1954.94726,1954.9587,1968.83026,-0.995662724,-0.004839818,-0.08684867,-0.033009385,-7.69e-05,0.006982086,0.983608666,-0.163574806,0.0755540079999999,-0.000342517,-0.000149727,0.000775491,0.001589211,-0.0021079479999999,0.999996204,0.084755328,-0.062646182,-0.6995411309999999,-0.70677726,-0.00031686,0.037729343,-0.169013085,-0.690174088,0.702611865,0.002714629,0.973195132,-0.229980945,0.229980945,0.973195132,0.994325638,-0.106379155,0.106379155,0.994325638,0.0,0.999924352,0.0,0.0,0.012300008,0.0,0.0,-0.012300008,0.0,0.0,0.999924352,0.0,0.0,0.0,0.7195134740000001,0.0,0.0,0.6944784820000001,0.995472267,0.0,0.0,0.095052441,0.0,0.0,0.095052441,0.0,0.0,-0.995472267,0.0,0.0,0.0,0.0,-0.6944784820000001,0.0,0.0,0.7195134740000001,,,,,,,,,,3,Se_4,2001.67227,2000011,,,,,,,,,,,,,Se_6,2010.83022,2000015,,,,,,,,,,,,,,,,2000011  -2000011,,,,,,,,,,,,,,,,,,
27334,95.1494681,124.856183,2841.3060600000003,798.877492,2841.33444,-281.302207,304.47642,433.4917190000001,-946.369283,948.722618,304.68656400000003,950.548456,697.825971,795.881836,1980.26084,2001.71062,2004.29144,2025.67665,791.455183,,,1859.64073,1952.15761,1952.15797,1953.38985,1953.39046,2059.02838,1951.83635,1951.91168,1954.94635,1955.02171,1957.25847,1999.73115,-0.998592362,-0.0019095779999999,-0.050986315,-0.0144926969999999,-7.45e-05,-0.002378851,-0.995221494,0.092622459,-0.030812417,0.000441192,8.01e-05,-0.0004986319999999,-0.000321242,0.000815031,-0.999999489,0.046304127,-0.043763867,-0.704267436,-0.7070699579999999,-0.000324513,-0.025759604,0.08726401,0.7020176290000001,-0.7063228490000001,-0.00084677,0.991422936,-0.130692621,0.130692621,0.991422936,0.999052869,-0.0435128059999999,0.0435128059999999,0.999052869,0.0,-0.039158592,0.0,0.0,-0.999233008,0.0,0.0,-0.999233008,0.0,0.0,0.039158592,0.0,0.0,0.0,0.7264402109999999,0.0,0.0,0.68722967,0.998325879,0.0,0.0,0.057839769,0.0,0.0,0.057839769,0.0,0.0,-0.998325879,0.0,0.0,0.0,0.0,-0.68722967,0.0,0.0,0.7264402109999999,,,,,,,,,,3,Se_4,2001.71062,2000011,,,,,,,,,,,,,Se_6,2025.67665,2000015,,,,,,,,,,,,,,,,2000011  -2000011,,,,,,,,,,,,,,,,,,
27460,94.4236135,125.787147,2855.18449,781.8701269999999,2855.2222100000004,-338.262792,363.333244,594.452687,-1000.13574,1002.73773,363.543055,1004.3808,506.155782,619.634406,1981.20611,2001.65061,2004.28918,2024.63531,499.946067,,,1844.2036100000005,1952.19385,1952.19427,1953.36577,1953.36643,2071.50204,1951.82064,1951.89097,1954.91127,1954.98163,1959.75441,2000.78145,-0.998637851,-0.001769973,-0.049602885,-0.016089184,-3.72e-05,0.002177708,0.995332725,-0.090341585,0.033858505,-0.000156882,4.49e-05,-0.000210544,-0.0003485619999999,0.000622931,-0.999999722,0.046456331,-0.0399980179999999,-0.704533812,-0.70701771,-0.000184344,0.023653904,-0.087805175,-0.702146665,0.706201324,0.000704205,0.991837771,-0.12750622,0.12750622,0.991837771,0.998855631,-0.047827059,0.047827059,0.998855631,-5.55e-19,0.999030154,0.0,-3.6e-17,0.04403126,0.0,-2.53e-20,0.04403126,0.0,1.27e-16,-0.999030154,0.0,0.0,0.0,0.7205628540000001,0.0,0.0,0.693389626,-0.013864286,8.059999999999998e-17,0.0,-0.999903886,-1.29e-16,0.0,-0.999903886,-1.67e-18,0.0,0.013864286,1.79e-18,0.0,0.0,0.0,-0.693389626,0.0,0.0,0.7205628540000001,,,,,,,,,,3,Se_5,2004.28918,2000013,,,,,,,,,,,,,Se_6,2024.63531,2000015,,,,,,,,,,,,,,,,2000013  -2000013,,,,,,,,,,,,,,,,,,
27629,95.1572026,125.290887,2325.12991,786.9939519999999,2325.13219,-279.436837,303.931484,455.448361,-745.141486,749.240478,304.15386,751.265075,447.624411,513.965685,1992.6303,2001.71033,2004.29077,2013.43992,507.447088,,,1847.37677,1952.15892,1952.15929,1953.39636,1953.39691,2057.05568,1951.86378,1951.89157,1951.91139,1954.94237,1954.96223,1971.68338,-0.99738598,-0.003047823,-0.06808667,-0.02400233,-0.000106235,0.004332644,0.990382032,-0.127051472,0.054609353,-0.000632884,-0.0001292129999999,0.00083597,0.000851897,-0.001579442,0.999998032,-0.065117923,0.0514083459999999,0.70237541,0.706955022,0.000466854,0.031017327,-0.128415825,-0.697058237,0.704736695,0.001818276,0.983843945,-0.179028188,0.179028188,0.983843945,0.997027885,-0.077041525,0.077041525,0.997027885,0.0,0.040727279,0.0,0.0,0.9991703000000002,0.0,0.0,0.9991703000000002,0.0,0.0,-0.040727279,0.0,0.0,0.0,0.7143304640000001,0.0,0.0,0.699808537,0.008109813,0.0,0.0,0.999967115,0.0,0.0,-0.999967115,0.0,0.0,0.008109813,0.0,0.0,0.0,0.0,-0.699808537,0.0,0.0,0.7143304640000001,,,,,,,,,,3,Se_5,2004.29077,2000013,,,,,,,,,,,,,Se_6,2013.43992,2000015,,,,,,,,,,,,,,,,2000013  -2000013,,,,,,,,,,,,,,,,,,
