Index,Posterior,x2,kappa,muSum,mB,mN,tanbeta,vs,M1,At,M2,lambda,MSl2_22,MSe2_22,(g-2)_mu,XSggF_h1SUSY,(g-2)_tau,Ah_2,Ah_3,N23,N22,N21,spec,N25,N24,Gluino,mu_h1LEP,ZH11,Pvalue,ZH13,ZH12,Sv_1,NLSP_pdg,neutron_SI,N31,N32,N33,N34,N35,muEff,neutron_SD,Se_5,Se_4,proton_SI,Se_6,Td_33,Se_3,Se_2,proton_SD,Akappa,HBresult,higg_chi2_tot,Chi_4,Chi_5,Chi_2,Chi_3,Chi_1,Su_5,Su_4,Su_6,Su_1,Su_3,Su_2,Mu,VWm,BrSUSY_h1gg,U21,U22,Hpm_2,N12,N13,N11,N14,N15,higg_chi2_mu,BrSM_h1rr,BR(B->X_s gamma),higg_chi2_mh,hh_1,hh_3,hh_2,Cha_2,Cha_1,BrSUSY_h1ditau,sigmaV,BR(B^0_s->mu mu),U11,BrSUSY_h1bb,U12,V22,V21,Sd_4,Sd_5,Sd_6,Sd_1,Sd_2,Sd_3,Bms,(g-2)_e,Bmu,BrSUSY_h1rr,XSggF_h1SM,mu_rr,ms,Se_1,WidthSUSYh1,C_h1gg,N55,ZH21,ZH22,ZH23,BR(h->e mu),C_h1VV,N41,N43,N42,N45,N44,XS_ditau,WidthSMh1,BrSM_h1gg,Tu_33,ZH33,ZH32,ZH31,VZ,omega,V12,N54,V11,N52,N53,N51,LSP_pdg,delta_rho,sgm_Bsr,sgm_Bmumu,sgm_omega,SD_x2,SI_x2,MainChannel,index,ZE11,ZE12,ZE13,ZE14,ZE15,ZE16,ZE21,ZE22,ZE23,ZE24,ZE25,ZE26,ZE31,ZE32,ZE33,ZE34,ZE35,ZE36,ZE41,ZE42,ZE43,ZE44,ZE45,ZE46,ZE51,ZE52,ZE53,ZE54,ZE55,ZE56,ZE61,ZE62,ZE63,ZE64,ZE65,ZE66,Se_1.1,Se_2.1,Se_3.1,Se_4.1,Se_5.1,Se_6.1,Left,Right,M_muL,M_muR,rr_chisq,bb_chisq
27009,6.91e-06,10.1292052,0.3875739039999999,800.4878182,76.13611303,427.8406899,51.0990059,489.867149,-343.1425193,2241.338598,351.9318279,0.002313783,706241.0363,472438.485,1.34e-09,7.201051,1.31e-07,793.358852,2706.86972,-0.1201593609999999,0.991198686,0.003502693,0,-0.000844039,0.0554428629999999,2854.08647,0.0068879999999999,0.001831396,0.190078,-0.995518145,0.094552991,840.1178880000001,1000023,1.81e-11,-5.18e-05,0.000911546,0.000216065,-0.0006013619999999,0.999999379,0.8014674,3.49e-07,2004.25863,2001.70976,1.83e-11,2021.71535,2752.702,1984.33748,844.232101,3.78e-07,-970.6425,1,114.339,-819.925932,823.803605,369.357355,424.173633,-343.58117400000003,1953.37241,1953.37179,2060.4337,1855.22751,1952.1483,1952.1479,799.6864,79.3228985,0.111841,0.16939804,0.985547718,2740.97201,-0.0028591959999999,-0.06486824,-0.997539138,-0.026450004,-5.09e-05,104.962,0.00139,0.000369699,9.37773,95.1583106,2706.85142,124.610343,825.693051,369.577314,0.1045869999999999,0,2.7300000000000003e-09,0.985547718,0.6169180000000001,-0.16939804,0.996935001,0.078234292,1954.9786,1958.59925,1995.52412,1951.85846,1951.91384,1954.92315,-135310.4,1.06e-14,78014.14,0.014565,76.3,0.140591,159.3385,688.8377059999999,1.9e-05,0.1158339999999999,-0.00068917,-0.019573255,-0.995325709,-0.094570721,0.0,0.094571,-0.064585093,0.70296522,0.0459115479999999,0.000227961,0.706796111,0.122368,0.00235,0.0674,2203.772,2.79e-05,0.019658727,-0.999806748,91.1887,0.127815,-0.078234292,-0.704744905,0.996935001,0.1241301269999999,0.697992616,-0.027058512,1000022,-0.000226272,0.66748085,0.320419533,0.65125,0,0,~N2 ~C1 -> d2 U2,27009,0.0,-0.019742096,0.0,0.0,-0.999805106,0.0,0.0,-0.999805106,0.0,0.0,0.019742096,0.0,0.0,0.0,0.7257162970000001,0.0,0.0,0.687994082,0.241516256,0.0,0.0,0.970396774,0.0,0.0,-0.970396774,0.0,0.0,0.241516256,0.0,0.0,0.0,0.0,-0.687994082,0.0,0.0,0.7257162970000001,688.8377059999999,844.232101,1984.33748,2001.70976,2004.25863,2021.71535,2,1,844.232101,688.8377059999999,2.0674925038271605,3.731810570637119
27072,7.04e-06,10.07724752,0.323681716,579.5297361,76.74589261,485.22476330000006,29.60564645,408.6894119,-240.4755141,2451.251713,250.1730328,0.002775836,423162.7415,580063.3428,1.3900000000000002e-09,5.800854,8.37e-08,794.517542,2255.82672,-0.163574806,0.983608666,0.006982086,0,-0.000342517,0.0755540079999999,2854.10333,0.004302,0.002490512,0.355008,-0.997192814,0.074835074,649.175865,1000023,2.86e-11,-0.000149727,0.000775491,0.001589211,-0.0021079479999999,0.999996204,0.8021807,1.23e-06,2004.32954,2001.67227,2.8800000000000003e-11,2010.83022,1744.8829999999998,1995.29701,762.685698,1.46e-06,-1203.861,1,106.717,-596.924304,602.534473,260.798045,482.47375,-240.239763,1953.40621,1953.4056100000005,2061.66704,1839.34288,1952.19401,1952.19358,578.7276,79.32625909999999,0.134501,0.229980945,0.973195132,2273.55868,-0.004839818,-0.08684867,-0.995662724,-0.033009385,-7.69e-05,102.128,0.00139,0.000354635,4.58971,94.261268,2255.82912,125.543236,604.921713,261.039873,0.087853,0,3.05e-09,0.973195132,0.614556,-0.229980945,0.994325638,0.106379155,1954.94726,1954.9587,1968.83026,1951.88417,1951.89555,1953.55649,-165111.7,6.77e-15,134641.2,0.017633,76.3,0.138494,298.1451,654.2834650000001,1.3e-05,0.104486,0.002714629,-0.033858535,-0.996617836,-0.074876487,0.0,0.074876,0.084755328,-0.6995411309999999,-0.062646182,-0.00031686,-0.70677726,0.083636,0.00235,0.0674,2411.079,5.17e-05,0.033949968,-0.999423532,91.1887,0.099088,-0.106379155,0.702611865,0.994325638,-0.169013085,-0.690174088,0.037729343,1000022,-0.0002049159999999,0.290874675,0.0473660329999999,1.742666667,0,0,~N2 ~C1 -> d1 U1,27072,0.0,0.999924352,0.0,0.0,0.012300008,0.0,0.0,-0.012300008,0.0,0.0,0.999924352,0.0,0.0,0.0,0.7195134740000001,0.0,0.0,0.6944784820000001,0.995472267,0.0,0.0,0.095052441,0.0,0.0,0.095052441,0.0,0.0,-0.995472267,0.0,0.0,0.0,0.0,-0.6944784820000001,0.0,0.0,0.7195134740000001,654.2834650000001,762.685698,1995.29701,2001.67227,2004.32954,2010.83022,1,2,654.2834650000001,762.685698,2.1350404982716054,3.909153340720222
27334,7.65e-06,9.844523342,0.26021081,926.311012,69.94246245,435.1905805,53.75566447,107.3468462,-280.57003760000003,2178.175181,287.55706539999994,0.003635047,627618.0429,485355.3243,1.34e-09,13.217171,1.24e-07,798.877492,2841.33444,0.092622459,-0.995221494,-0.002378851,0,0.000441192,-0.030812417,2854.08207,0.026391,0.003202586,0.37906,-0.984824828,0.173521763,791.455183,1000023,3.99e-12,8.01e-05,-0.0004986319999999,-0.000321242,0.000815031,-0.999999489,0.2759207,1.55e-07,2004.29144,2001.71062,4.17e-12,2025.67665,2814.157,1980.26084,795.881836,1.5199999999999998e-07,-950.997,1,105.779,-946.369283,948.722618,304.47642,433.4917190000001,-281.302207,1953.39046,1953.38985,2059.02838,1859.64073,1952.15797,1952.15761,926.0351,79.3195446,0.057024,0.130692621,0.991422936,2881.01411,-0.0019095779999999,-0.050986315,-0.998592362,-0.0144926969999999,-7.45e-05,102.75,0.00139,0.000368265,3.02915,95.1494681,2841.3060600000003,124.856183,950.548456,304.68656400000003,0.124899,0,2.6800000000000003e-09,0.991422936,0.701825,-0.130692621,0.999052869,0.0435128059999999,1955.02171,1957.25847,1999.73115,1951.83635,1951.91168,1954.94635,-296396.8,1.01e-14,74270.39,0.007558,76.3,0.108269,395.6876,697.825971,5.5e-05,0.141111,-0.00084677,-0.01840649,-0.984652804,-0.17355131,0.0,0.173551,0.046304127,-0.704267436,-0.043763867,-0.000324513,-0.7070699579999999,0.2168679999999999,0.00235,0.0674,2141.628,4.05e-05,0.018682981,-0.999825457,91.1887,0.1161619999999999,-0.0435128059999999,-0.7063228490000001,0.999052869,0.08726401,0.7020176290000001,-0.025759604,1000022,-0.000226909,0.631634725,0.357424242,0.319833333,0,0,~N2 ~C1 -> d1 U1,27334,0.0,-0.039158592,0.0,0.0,-0.999233008,0.0,0.0,-0.999233008,0.0,0.0,0.039158592,0.0,0.0,0.0,0.7264402109999999,0.0,0.0,0.68722967,0.998325879,0.0,0.0,0.057839769,0.0,0.0,0.057839769,0.0,0.0,-0.998325879,0.0,0.0,0.0,0.0,-0.68722967,0.0,0.0,0.7264402109999999,697.825971,795.881836,1980.26084,2001.71062,2004.29144,2025.67665,2,1,795.881836,697.825971,3.229248933456791,2.526928556786704
27460,7.95e-06,9.735379639,0.48560538,980.626338,74.43416404,601.3733026000001,48.50221493,465.656826,-337.55364510000004,2518.4874670000004,344.729123,0.002390404,250356.7704,381882.3484,1.34e-09,8.726794,1.11e-07,781.8701269999999,2855.2222100000004,-0.090341585,0.995332725,0.002177708,0,-0.000156882,0.033858505,2854.11434,0.010295,0.002305503,0.214167,-0.993588667,0.1130320559999999,499.946067,1000023,5.6399999999999986e-12,4.49e-05,-0.000210544,-0.0003485619999999,0.000622931,-0.999999722,0.7870861,1.3e-07,2004.28918,2001.65061,5.79e-12,2024.63531,2935.958,1981.20611,619.634406,1.23e-07,-1448.342,1,113.025,-1000.13574,1002.73773,363.333244,594.452687,-338.262792,1953.36643,1953.36577,2071.50204,1844.2036100000005,1952.19427,1952.19385,979.8393,79.3218677,0.099298,0.12750622,0.991837771,2890.72544,-0.001769973,-0.049602885,-0.998637851,-0.016089184,-3.72e-05,101.043,0.00139,0.000369155,11.9823,94.4236135,2855.18449,125.787147,1004.3808,363.543055,0.1149319999999999,0,2.75e-09,0.991837771,0.645153,-0.12750622,0.998855631,0.047827059,1954.98163,1959.75441,2000.78145,1951.82064,1951.89097,1954.91127,4756.101,8.98e-15,82087.94,0.012856,76.3,0.147698,281.5836,506.155782,2.5e-05,0.12637,0.000704205,-0.020573814,-0.993375638,-0.113055561,0.0,0.1130559999999999,0.046456331,-0.704533812,-0.0399980179999999,-0.000184344,-0.70701771,0.160047,0.00235,0.0674,2476.328,3.53e-05,0.020702558,-0.999785678,91.1887,0.114973,-0.047827059,0.706201324,0.998855631,-0.087805175,-0.702146665,0.023653904,1000022,-0.000229084,0.65386275,0.299576592,0.418916667,0,0,~N2 ~C1 -> d2 U2,27460,-5.55e-19,0.999030154,0.0,-3.6e-17,0.04403126,0.0,-2.53e-20,0.04403126,0.0,1.27e-16,-0.999030154,0.0,0.0,0.0,0.7205628540000001,0.0,0.0,0.693389626,-0.013864286,8.059999999999998e-17,0.0,-0.999903886,-1.29e-16,0.0,-0.999903886,-1.67e-18,0.0,0.013864286,1.79e-18,0.0,0.0,0.0,-0.693389626,0.0,0.0,0.7205628540000001,506.155782,619.634406,1981.20611,2001.65061,2004.28918,2024.63531,1,2,506.155782,619.634406,1.8466394079012356,3.5044496845183133
27629,8.4e-06,9.584848349,0.531599425,727.3730401,71.50533553,462.6959842,31.66919502,525.5226813999999,-279.4379099,2305.284514,289.7111827,0.0045418659999999,258922.9394,198804.5745,1.3300000000000002e-09,12.788798,8.269999999999999e-08,786.9939519999999,2325.13219,-0.127051472,0.990382032,0.004332644,0,-0.000632884,0.054609353,2854.0895,0.025232,0.005254138,0.481347,-0.985792188,0.1678873289999999,507.447088,1000023,1.51e-11,-0.0001292129999999,0.00083597,0.000851897,-0.001579442,0.999998032,1.68776,4.74e-07,2004.29077,2001.71033,1.52e-11,2013.43992,1755.23,1992.6303,513.965685,5.28e-07,-965.7649,1,102.001,-745.141486,749.240478,303.931484,455.448361,-279.436837,1953.39691,1953.39636,2057.05568,1847.37677,1952.15929,1952.15892,725.6853,79.321179,0.060332,0.179028188,0.983843945,2348.10525,-0.003047823,-0.06808667,-0.99738598,-0.02400233,-0.000106235,101.288,0.00139,0.000353639,0.71281,95.1572026,2325.12991,125.290887,751.265075,304.15386,0.1065069999999999,0,3.03e-09,0.983843945,0.716333,-0.179028188,0.997027885,0.077041525,1954.94237,1954.96223,1971.68338,1951.86378,1951.89157,1951.91139,-40637.48,6.69e-15,125732.4,0.008045,76.3,0.122192,67.6106,447.624411,5.5e-05,0.145299,0.001818276,-0.031298393,-0.985295212,-0.167969507,1.18e-34,0.16797,-0.065117923,0.70237541,0.0514083459999999,0.000466854,0.706955022,0.196073,0.00235,0.0674,2267.342,7.77e-05,0.031736246,-0.999496275,91.1887,0.136936,-0.077041525,0.704736695,0.997027885,-0.128415825,-0.697058237,0.031017327,1000022,-0.000216031,0.26598105,0.070582092,1.4113333330000002,0,0,~N2 ~C1 -> d2 U2,27629,0.0,0.040727279,0.0,0.0,0.9991703000000002,0.0,0.0,0.9991703000000002,0.0,0.0,-0.040727279,0.0,0.0,0.0,0.7143304640000001,0.0,0.0,0.699808537,0.008109813,0.0,0.0,0.999967115,0.0,0.0,-0.999967115,0.0,0.0,0.008109813,0.0,0.0,0.0,0.0,-0.699808537,0.0,0.0,0.7143304640000001,447.624411,513.965685,1992.6303,2001.71033,2004.29077,2013.43992,2,1,513.965685,447.624411,2.697185785679012,2.591987018775008
